File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF124TAB	bam	bam		unfiltered alignments	mm10	ENCSR057BKH	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2015-06-23	ENCODE		sonication (generic)	300-500	2	2_1		50					/files/ENCFF018NEO/, /files/ENCFF731WKM/	2530695768	ENCODE Processing Pipeline	70d951f55a4b1db8f599a3ee456bd24a		https://www.encodeproject.org/files/ENCFF124TAB/@@download/ENCFF124TAB.bam				released	s3://encode-public/2016/10/01/e834ce27-f229-4021-bfa2-af8996010c49/ENCFF124TAB.bam	ENCODE3 mm10	archived	inconsistent platforms, mild to moderate bottlenecking		
ENCFF371EKG	bam	bam		unfiltered alignments	mm10	ENCSR057BKH	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2015-06-23	ENCODE		sonication (generic)	300-500	1	1_1		50					/files/ENCFF309GLL/, /files/ENCFF786CEQ/	2499648275	ENCODE Processing Pipeline	066fd3e663a9f1eb9da61463092da021		https://www.encodeproject.org/files/ENCFF371EKG/@@download/ENCFF371EKG.bam				released	s3://encode-public/2020/10/10/8056b307-959b-4a4d-85df-d19cd3e3afb4/ENCFF371EKG.bam	ENCODE4 v1.5.1 mm10	released	inconsistent platforms, mild to moderate bottlenecking		
ENCFF435PDD	bam	bam		unfiltered alignments	mm10	ENCSR057BKH	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2015-06-23	ENCODE		sonication (generic)	300-500	2	2_1		50					/files/ENCFF309GLL/, /files/ENCFF731WKM/	2491240453	ENCODE Processing Pipeline	8989c014008e1eb27296573e499f6018		https://www.encodeproject.org/files/ENCFF435PDD/@@download/ENCFF435PDD.bam				released	s3://encode-public/2020/10/10/46b9544f-713f-45d9-81a7-853896f114ed/ENCFF435PDD.bam	ENCODE4 v1.5.1 mm10	released	inconsistent platforms, mild to moderate bottlenecking		
ENCFF182ZPF	bam	bam		unfiltered alignments	mm10	ENCSR106QSU	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2016-03-30	ENCODE		sonication (generic)	300-500	1	1_1		51					/files/ENCFF748RPL/, /files/ENCFF018NEO/	1621848642	ENCODE Processing Pipeline	ae4155f58579ad861bd450855bb23048		https://www.encodeproject.org/files/ENCFF182ZPF/@@download/ENCFF182ZPF.bam				released	s3://encode-public/2016/10/01/a95e9031-4bea-4ef1-8aeb-b35f396166ca/ENCFF182ZPF.bam	ENCODE3 mm10	archived	mild to moderate bottlenecking		
ENCFF941QJZ	bam	bam		unfiltered alignments	mm10	ENCSR106QSU	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2016-03-30	ENCODE		sonication (generic)	300-500	2	2_1		51					/files/ENCFF018NEO/, /files/ENCFF458LQQ/	1658567294	ENCODE Processing Pipeline	0677e403a2d6c25b650cbd5c69641f59		https://www.encodeproject.org/files/ENCFF941QJZ/@@download/ENCFF941QJZ.bam				released	s3://encode-public/2016/10/01/34a34a56-c3f5-4ef7-8de6-4898ea03a580/ENCFF941QJZ.bam	ENCODE3 mm10	archived	mild to moderate bottlenecking		
ENCFF634JHH	bam	bam		unfiltered alignments	mm10	ENCSR106QSU	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2016-03-30	ENCODE		sonication (generic)	300-500	2	2_1		50					/files/ENCFF309GLL/, /files/ENCFF458LQQ/	1595691316	ENCODE Processing Pipeline	8fb9c8b31e0b7455882fc87ea7887707		https://www.encodeproject.org/files/ENCFF634JHH/@@download/ENCFF634JHH.bam				released	s3://encode-public/2020/10/10/1613819c-c9c1-4a3b-914e-671109ad7e97/ENCFF634JHH.bam	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking		
ENCFF911QVN	bam	bam		unfiltered alignments	mm10	ENCSR106QSU	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2016-03-30	ENCODE		sonication (generic)	300-500	1	1_1		50					/files/ENCFF748RPL/, /files/ENCFF309GLL/	1560462901	ENCODE Processing Pipeline	77d5549c2bf540f7c82114c026a9dd9a		https://www.encodeproject.org/files/ENCFF911QVN/@@download/ENCFF911QVN.bam				released	s3://encode-public/2020/10/10/1837f09d-3ae5-4f14-9360-75eecc65afc8/ENCFF911QVN.bam	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking		
ENCFF213EBC	bam	bam		unfiltered alignments	mm10	ENCSR151APL	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2016-07-19	ENCODE		sonication (generic)	300-500	1	1_1		51					/files/ENCFF018NEO/, /files/ENCFF504ZKY/	3637733940	ENCODE Processing Pipeline	8176b6d86ceffad603c3eda82aa84e67		https://www.encodeproject.org/files/ENCFF213EBC/@@download/ENCFF213EBC.bam				released	s3://encode-public/2016/07/14/bf514e0c-32ec-41e0-a00c-4811e25729e1/ENCFF213EBC.bam	ENCODE3 mm10	archived	mild to moderate bottlenecking		
ENCFF548BRR	bam	bam		unfiltered alignments	mm10	ENCSR151APL	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2016-07-19	ENCODE		sonication (generic)	300-500	2	2_1		51					/files/ENCFF018NEO/, /files/ENCFF325FAW/	2152285533	ENCODE Processing Pipeline	65f874bca1d87a2f6f062b00569b7b2a		https://www.encodeproject.org/files/ENCFF548BRR/@@download/ENCFF548BRR.bam				released	s3://encode-public/2016/07/14/0e3dc178-33ea-4bf6-9c5f-b853feb9528c/ENCFF548BRR.bam	ENCODE3 mm10	archived	mild to moderate bottlenecking		
ENCFF087UAW	bam	bam		unfiltered alignments	mm10	ENCSR151APL	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2016-07-19	ENCODE		sonication (generic)	300-500	1	1_1		50					/files/ENCFF504ZKY/, /files/ENCFF309GLL/	3479644356	ENCODE Processing Pipeline	717c71e06ce36b456ef917416461b879		https://www.encodeproject.org/files/ENCFF087UAW/@@download/ENCFF087UAW.bam				released	s3://encode-public/2020/10/10/1913c926-963a-4c5d-8872-0bd853ea20be/ENCFF087UAW.bam	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking		
ENCFF149EAV	bam	bam		unfiltered alignments	mm10	ENCSR151APL	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2016-07-19	ENCODE		sonication (generic)	300-500	2	2_1		50					/files/ENCFF309GLL/, /files/ENCFF325FAW/	2093781713	ENCODE Processing Pipeline	41d5268248d43d37c4a026c1e2264f5e		https://www.encodeproject.org/files/ENCFF149EAV/@@download/ENCFF149EAV.bam				released	s3://encode-public/2020/10/10/b4f6e291-f69d-4c84-a752-6684f8f98c67/ENCFF149EAV.bam	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking		
ENCFF512SFE	bam	bam		unfiltered alignments	mm10	ENCSR401GRX	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2014-06-30	ENCODE		sonication (generic)	300-500	1	1_1		36					/files/ENCFF018NEO/, /files/ENCFF001ZRA/	804168569	ENCODE Processing Pipeline	d88fa13d3a46a8590f05bad7445d1e17		https://www.encodeproject.org/files/ENCFF512SFE/@@download/ENCFF512SFE.bam				released	s3://encode-public/2016/10/02/5b56edf1-4231-4c65-9324-ef2ba0f25f21/ENCFF512SFE.bam	ENCODE3 mm10	archived	low read depth, low read length, control low read depth, mild to moderate bottlenecking		
ENCFF515PKL	bam	bam		unfiltered alignments	mm10	ENCSR401GRX	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2014-06-30	ENCODE		sonication (generic)	300-500	2	2_1		36					/files/ENCFF018NEO/, /files/ENCFF001ZRC/	923863510	ENCODE Processing Pipeline	c45409e5bbcfbabbc5b25556043fc8c0		https://www.encodeproject.org/files/ENCFF515PKL/@@download/ENCFF515PKL.bam				released	s3://encode-public/2016/10/02/c458cc30-a802-4f77-ad3d-f75f9b2dfb36/ENCFF515PKL.bam	ENCODE3 mm10	archived	low read depth, low read length, control low read depth, mild to moderate bottlenecking		
ENCFF460HLS	bam	bam		unfiltered alignments	mm10	ENCSR401GRX	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2014-06-30	ENCODE		sonication (generic)	300-500	1	1_1		36					/files/ENCFF001ZRA/, /files/ENCFF309GLL/	785258788	ENCODE Processing Pipeline	a58588fb7e003008bb5a9a4f7df7a9ba		https://www.encodeproject.org/files/ENCFF460HLS/@@download/ENCFF460HLS.bam				released	s3://encode-public/2020/10/10/be9345c4-e215-45c0-86c0-418dfd9637af/ENCFF460HLS.bam	ENCODE4 v1.5.1 mm10	released	low read depth, low read length, control low read depth, mild to moderate bottlenecking		
ENCFF689BMI	bam	bam		unfiltered alignments	mm10	ENCSR401GRX	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2014-06-30	ENCODE		sonication (generic)	300-500	2	2_1		36					/files/ENCFF001ZRC/, /files/ENCFF309GLL/	902503835	ENCODE Processing Pipeline	3ab2f8a7116429f9fbc04252494fc94d		https://www.encodeproject.org/files/ENCFF689BMI/@@download/ENCFF689BMI.bam				released	s3://encode-public/2020/10/10/0e14eb2a-e56c-4408-b408-cb604eb32a9d/ENCFF689BMI.bam	ENCODE4 v1.5.1 mm10	released	low read depth, low read length, control low read depth, mild to moderate bottlenecking		
ENCFF760QYZ	bam	bam		unfiltered alignments	mm10	ENCSR320CCJ	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2014-06-30	ENCODE		sonication (generic)	300-500	1	1_1		36					/files/ENCFF018NEO/, /files/ENCFF001ZTU/	1103158272	ENCODE Processing Pipeline	bcf1cecbbc774ee0161e508d2e6a53ab		https://www.encodeproject.org/files/ENCFF760QYZ/@@download/ENCFF760QYZ.bam				released	s3://encode-public/2016/10/02/13178d3a-4bea-4c0b-b388-469845533f5a/ENCFF760QYZ.bam	ENCODE3 mm10	archived	low read depth, low read length, control low read depth		
ENCFF717QDV	bam	bam		unfiltered alignments	mm10	ENCSR320CCJ	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2014-06-30	ENCODE		sonication (generic)	300-500	2	2_1		36					/files/ENCFF018NEO/, /files/ENCFF001ZUC/	930388453	ENCODE Processing Pipeline	511b218afe00f04d758a5936bdca98b9		https://www.encodeproject.org/files/ENCFF717QDV/@@download/ENCFF717QDV.bam				released	s3://encode-public/2016/10/02/31a12ce9-922c-4dff-a55c-972d32f7c082/ENCFF717QDV.bam	ENCODE3 mm10	archived	low read depth, low read length, control low read depth		
ENCFF892LOM	bam	bam		unfiltered alignments	mm10	ENCSR320CCJ	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2014-06-30	ENCODE		sonication (generic)	300-500	1	1_1		36					/files/ENCFF001ZTU/, /files/ENCFF309GLL/	1076954908	ENCODE Processing Pipeline	525749b5c4242ed1d7962d93e28feb09		https://www.encodeproject.org/files/ENCFF892LOM/@@download/ENCFF892LOM.bam				released	s3://encode-public/2020/10/10/24fb8574-8fc3-4640-9dfc-73749341ec75/ENCFF892LOM.bam	ENCODE4 v1.5.1 mm10	released	low read depth, low read length, control low read depth		
ENCFF703KIJ	bam	bam		unfiltered alignments	mm10	ENCSR320CCJ	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2014-06-30	ENCODE		sonication (generic)	300-500	2	2_1		36					/files/ENCFF309GLL/, /files/ENCFF001ZUC/	909179547	ENCODE Processing Pipeline	5b142e185a54c5ef4d45bbf26fdd940f		https://www.encodeproject.org/files/ENCFF703KIJ/@@download/ENCFF703KIJ.bam				released	s3://encode-public/2020/10/10/6b240b8b-d093-47b3-ab92-f6cedb6d05e6/ENCFF703KIJ.bam	ENCODE4 v1.5.1 mm10	released	low read depth, low read length, control low read depth		
ENCFF011NFM	bam	bam		unfiltered alignments	mm10	ENCSR813SCQ	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2016-03-30	ENCODE		sonication (generic)	300-500	2	2_1		51					/files/ENCFF018NEO/, /files/ENCFF942SDR/	1908023914	ENCODE Processing Pipeline	9dd1a5789f410917d7acc0074d748e97		https://www.encodeproject.org/files/ENCFF011NFM/@@download/ENCFF011NFM.bam				released	s3://encode-public/2016/10/01/fc23381d-81f4-4ad6-8a9e-85cd37729cd5/ENCFF011NFM.bam	ENCODE3 mm10	archived	mild to moderate bottlenecking		
ENCFF394TZN	bam	bam		unfiltered alignments	mm10	ENCSR813SCQ	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2016-03-30	ENCODE		sonication (generic)	300-500	1	1_1		51					/files/ENCFF018NEO/, /files/ENCFF787PLN/	2066648867	ENCODE Processing Pipeline	cdbbf43e7748c847a0c1be9d0aca791e		https://www.encodeproject.org/files/ENCFF394TZN/@@download/ENCFF394TZN.bam				released	s3://encode-public/2016/10/01/f2a2cc31-84e4-47be-b17a-3054c27cd6a1/ENCFF394TZN.bam	ENCODE3 mm10	archived	mild to moderate bottlenecking		
ENCFF229ATY	bam	bam		unfiltered alignments	mm10	ENCSR813SCQ	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2016-03-30	ENCODE		sonication (generic)	300-500	1	1_1		50					/files/ENCFF309GLL/, /files/ENCFF787PLN/	1996169164	ENCODE Processing Pipeline	bf66a408c62068ccb088aedc2cdf17c1		https://www.encodeproject.org/files/ENCFF229ATY/@@download/ENCFF229ATY.bam				released	s3://encode-public/2020/10/09/f154b23a-2509-47ae-bdd0-791ff0315db6/ENCFF229ATY.bam	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking		
ENCFF882RDV	bam	bam		unfiltered alignments	mm10	ENCSR813SCQ	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2016-03-30	ENCODE		sonication (generic)	300-500	2	2_1		50					/files/ENCFF942SDR/, /files/ENCFF309GLL/	1845647378	ENCODE Processing Pipeline	c81f7e3611d32653e9e42aa979a7b928		https://www.encodeproject.org/files/ENCFF882RDV/@@download/ENCFF882RDV.bam				released	s3://encode-public/2020/10/09/38a81925-9cb9-475c-95b4-3102172da330/ENCFF882RDV.bam	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking		
ENCFF665QBJ	bam	bam		unfiltered alignments	mm10	ENCSR059LYY	Histone ChIP-seq	/mouse-donors/ENCDO469XMJ/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2014-06-30	ENCODE		sonication (generic)	300-500	2	2_1		36					/files/ENCFF018NEO/, /files/ENCFF002ALZ/	1169942731	ENCODE Processing Pipeline	920a872cf956f37a3f7b634f71b61072		https://www.encodeproject.org/files/ENCFF665QBJ/@@download/ENCFF665QBJ.bam				released	s3://encode-public/2016/10/03/d36d85d0-fdf0-4071-8008-2f77dc5dd826/ENCFF665QBJ.bam	ENCODE3 mm10	archived	low read depth, low read length, mild to moderate bottlenecking		
